"so_no","doc_date","gemc_no","gemc_date","qty","supplier_name","item_name","option_clause_ptc","item_nomenclature","p_number","sap_order_no","item_code","sap_item_code","unit_rate"," total_cost ","psd","end_use","qty_in_quality"," open_qty ","delivery_date","unit_basic_price","no_of_staggers","1_stagger_qty","1_stagger_start","1_stagger_end","2_stagger_qty","2_stagger_start","2_stagger_end","3_stagger_qty","3_stagger_start","3_stagger_end"
"ADL0295","14-05-2026","5.11688E+14","29-01-2025","48075","M/S MANISHA RUBBER ENTERPRISES, MUMBAI.","PRESSURE PAD RUBBER ASSY (A & B)","50","PRESSURE PAD RUBBER ASSY TYPE (A&B) PRESSURE PAD TYPE ""A"" ASSEMBLY PART ITX 60 SA DC-35916-A.DT.21.02.95 AND PRESSURE PAD TYPE ""B"" ASSEMBLY PART ITX-61SADC 35916 A, DTD.21.02.95 TO SPECN. CQA(A) 1817(T), DC-37096-A DT.06.03.2007 RESPECTIVELY (TO BE SUPPLIED BOTH THE ITEM AS A SET, (EACH SET CONTAINS PRESSURE PAD TYPE-A ASSEMBLY =03 NOS & PRESSURE PAD TYPE B ASSEMBLY = 01 NO).","191-93","4500001870","6174130915","12001029","470.82"," 2,26,34,671.50 ","11,31,733.00","Required for assembly of Mine A/T 4D ND (User Section: Unit-10).","0","6075.00","30-07-2026","399","2","24000","30-01-2025","28-06-2025","24075","29-06-2025","26-09-2025",,,
"ADL0296","15-05-2026","5.11688E+14","29-01-2025","32050","M/S A.R RUBBER PRODUCTS, GURGAON","PRESSURE PAD RUBBER ASSY (A & B)","50","PRESSURE PAD RUBBER ASSY TYPE (A&B) PRESSURE PAD TYPE ""A"" ASSEMBLY PART ITX 60 SA DC-35916-A.DT.21.02.95 AND PRESSURE PAD TYPE ""B"" ASSEMBLY PART ITX-61SADC 35916 A, DTD.21.02.95 TO SPECN. CQA(A) 1817(T), DC-37096-A DT.06.03.2007 RESPECTIVELY (TO BE SUPPLIED BOTH THE ITEM AS A SET, (EACH SET CONTAINS PRESSURE PAD TYPE-A ASSEMBLY =03 NOS & PRESSURE PAD TYPE B ASSEMBLY = 01 NO).","194-198&197","4500001871","6174130915","12001029","470.82"," 1,50,89,781.00 ","7,54,489.00","Required for assembly of Mine A/T 4D ND (User Section: Unit-10).","7657","8060.00","30-07-2026","399","2","16000","30-01-2025","28-06-2025","16050","29-06-2025","26-09-2025",,,
